number,created_at,author_id,assignee_id,description,due_at,status,updated_at
773433,2025-07-17 12:50:00.503148+00,433,21,Тестовая заявка №773433,2025-07-21 12:50:00.503148+00,in_progress,2025-07-20 12:50:00.503148+00
335433,2025-07-17 14:30:00.503148+00,433,21,Тестовая заявка №335433,2025-07-21 14:30:00.503148+00,in_progress,2025-07-20 14:30:00.503148+00
992433,2025-07-18 00:00:00.503148+00,433,21,Тестовая заявка №992433,2025-07-22 00:00:00.503148+00,in_progress,2025-07-21 00:00:00.503148+00
554433,2025-07-18 01:40:00.503148+00,433,21,Тестовая заявка №554433,2025-07-22 01:40:00.503148+00,in_progress,2025-07-21 01:40:00.503148+00
116433,2025-07-18 03:20:00.503148+00,433,21,Тестовая заявка №116433,2025-07-22 03:20:00.503148+00,in_progress,2025-07-21 03:20:00.503148+00
677433,2025-07-22 15:30:00.503148+00,433,21,Тестовая заявка №677433,2025-07-26 15:30:00.503148+00,in_progress,2025-07-25 15:30:00.503148+00
239433,2025-07-22 17:10:00.503148+00,433,21,Тестовая заявка №239433,2025-07-26 17:10:00.503148+00,in_progress,2025-07-25 17:10:00.503148+00
896433,2025-07-23 02:40:00.503148+00,433,21,Тестовая заявка №896433,2025-07-27 02:40:00.503148+00,in_progress,2025-07-26 02:40:00.503148+00
458433,2025-07-23 04:20:00.503148+00,433,21,Тестовая заявка №458433,2025-07-27 04:20:00.503148+00,in_progress,2025-07-26 04:20:00.503148+00
20433,2025-07-23 06:00:00.503148+00,433,21,Тестовая заявка №20433,2025-07-27 06:00:00.503148+00,in_progress,2025-07-26 06:00:00.503148+00
846433,2025-07-17 16:33:20.503148+00,433,21,Тестовая заявка №846433,2025-07-31 16:33:20.503148+00,in_progress,2025-07-30 16:33:20.503148+00
581433,2025-07-27 18:10:00.503148+00,433,21,Тестовая заявка №581433,2025-07-31 18:10:00.503148+00,in_progress,2025-07-30 18:10:00.503148+00
408433,2025-07-17 18:13:20.503148+00,433,21,Тестовая заявка №408433,2025-07-31 18:13:20.503148+00,in_progress,2025-07-30 18:13:20.503148+00
143433,2025-07-27 19:50:00.503148+00,433,21,Тестовая заявка №143433,2025-07-31 19:50:00.503148+00,in_progress,2025-07-30 19:50:00.503148+00
800433,2025-07-28 05:20:00.503148+00,433,21,Тестовая заявка №800433,2025-08-01 05:20:00.503148+00,in_progress,2025-07-31 05:20:00.503148+00
627433,2025-07-18 05:23:20.503148+00,433,21,Тестовая заявка №627433,2025-08-01 05:23:20.503148+00,in_progress,2025-07-31 05:23:20.503148+00
362433,2025-07-28 07:00:00.503148+00,433,21,Тестовая заявка №362433,2025-08-01 07:00:00.503148+00,in_progress,2025-07-31 07:00:00.503148+00
189433,2025-07-18 07:03:20.503148+00,433,21,Тестовая заявка №189433,2025-08-01 07:03:20.503148+00,in_progress,2025-07-31 07:03:20.503148+00
923433,2025-08-01 19:10:00.503148+00,433,21,Тестовая заявка №923433,2025-08-05 19:10:00.503148+00,in_progress,2025-08-04 19:10:00.503148+00
